"job_id","array_job_id","array_task_id","name","job_state","user_id","user_name","group_id","cluster","partition","command","current_working_directory","batch_flag","batch_host","nodes","node_count","cpus","tasks","tasks_per_node","cpus_per_task","memory_per_node","memory_per_cpu","priority","time_limit","deadline","submit_time","preempt_time","suspend_time","eligible_time","start_time","end_time","resize_time","restart_cnt","exit_code","derived_exit_code"
3687192,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/12/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/12,true,,"{cpu-24-28,cpu-25-25,cpu-25-26}",3,40,40,0,,,4027,1182,2880,0,1635577001,0,0,1635577001,1635619822,1635638307,0,0,0,0
3687193,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/13/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/13,true,,"{cpu-23-3,cpu-23-14,cpu-26-34}",3,40,40,0,,,4027,1182,2880,0,1635577005,0,0,1635577005,1635619822,1635645058,0,0,256,0
3687231,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/15/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/15,true,,"{cpu-23-34,cpu-25-26,cpu-26-34}",3,40,40,0,,,4027,1182,2880,0,1635578564,0,0,1635578564,1635626127,1635648115,0,0,0,0
3687223,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/6/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/6,true,,"{cpu-23-14,cpu-25-6,cpu-25-59}",3,40,40,0,,,4027,1182,2880,0,1635578543,0,0,1635578543,1635624025,1635637547,0,0,0,0
3687230,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/14/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/14,true,,"{cpu-23-14,cpu-25-51,cpu-25-55}",3,40,40,0,,,4027,1182,2880,0,1635578562,0,0,1635578562,1635626127,1635650252,0,0,0,0
3687323,0,,hyphy,CANCELLED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/1Relax/23/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/1Relax/23,true,,"{cpu-23-9,cpu-24-7,cpu-24-20}",3,70,70,0,,,4027,1182,2880,0,1635606732,0,0,1635606732,1635634533,1635645755,0,0,15,0
3687331,0,,slab,CANCELLED,99623,fmolajaf,210,redraider,nocona,"/home/fmolajaf/HZSM5/LAST/MethaneActivation/Slab/OrthohombicMoO3/Slab(001me,010papers)/FullyRelaxed/2Lay/KPOINTtest/331/submit.sh","/home/fmolajaf/HZSM5/LAST/MethaneActivation/Slab/OrthohombicMoO3/Slab(001me,010papers)/FullyRelaxed/2Lay/KPOINTtest/331",true,,{cpu-26-4},1,128,128,0,,,4027,1273,2880,0,1635607276,0,0,1635607276,1635660067,1635805317,0,0,15,15
3687197,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/17/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/17,true,,"{cpu-23-3,cpu-25-25,cpu-26-34}",3,40,40,0,,,4027,1182,2880,0,1635577015,0,0,1635577015,1635619822,1635651313,0,0,256,0
3687155,0,,hyphy,CANCELLED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/1Relax/3/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/1Relax/3,true,,"{cpu-23-3,cpu-23-14,cpu-23-34,cpu-24-18,cpu-24-19,cpu-24-28,cpu-24-49,cpu-25-26,cpu-25-30,cpu-25-40,cpu-25-41,cpu-25-55,cpu-25-57,cpu-26-2,cpu-26-34}",15,145,145,0,,,4027,1182,2880,0,1635567428,0,0,1635567428,1635606597,1635645728,0,0,15,0
3687213,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/35/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/35,true,,"{cpu-23-34,cpu-24-20,cpu-24-49}",3,40,40,0,,,4027,1182,2880,0,1635577056,0,0,1635577056,1635622224,1635637532,0,0,0,0
3687329,0,,Metallicm,CANCELLED,99623,fmolajaf,210,redraider,nocona,/home/fmolajaf/HZSM5/LAST/Monomer/MetallicMo/Tsite8/NotTooFarFromT-site/2/submit.sh,/home/fmolajaf/HZSM5/LAST/Monomer/MetallicMo/Tsite8/NotTooFarFromT-site/2,true,,{cpu-25-60},1,128,128,0,,,4027,1273,2880,0,1635607057,0,0,1635607057,1635650155,1635806817,0,0,15,15
3687206,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/27/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/27,true,,"{cpu-24-20,cpu-25-55,cpu-26-2}",3,40,40,0,,,4027,1182,2880,0,1635577039,0,0,1635577039,1635622224,1635639804,0,0,256,0
